rxn_Class,patentID,rxn_Smiles,reactantSet
1,US07678803B2,[H-].[CH3:1][c:2]1[cH:3][nH:4][c:5]2[c:6]1[C:7](=[O:8])[CH2:9][C:10]([CH2:13]2)([CH3:11])[CH3:12].CN(C)C=O.[cH:23]1[cH:24][c:25]2[c:20]([cH:21][c:22]1F)[c:18]([cH:17][n:16][c:15]2[NH2:14])[Br:19].[NH4+].[Na+].[Cl-]>>[CH3:1][c:2]1[cH:3][n:4]([c:5]2[c:6]1[C:7](=[O:8])[CH2:9][C:10]([CH2:13]2)([CH3:11])[CH3:12])[c:22]3[cH:23][cH:24][c:25]4[c:20]([cH:21]3)[c:18]([cH:17][n:16][c:15]4[NH2:14])[Br:19],"set([1, 3])"
10,US07071180B2,CC(=O)O.[cH:5]1[cH:4][n:3][c:2]([c:7]([n:6]1)[N:8]2[CH2:9][CH2:10][NH:11][CH2:12][CH2:13]2)[Cl:1].C(=O)([O-])[O-].O.[Na+].[Na+].Br[Br:13]>>[cH:5]1[c:4]([n:3][c:2]([c:7]([n:6]1)[N:8]2[CH2:9][CH2:10][NH:11][CH2:12][CH2:13]2)[Cl:1])[Br:13],"set([1, 6])"
1,US20130079342A1,CC(C)(C)[O-].CC(C)c1cc(C(C)C)c(-c2ccccc2P(C2CCCCC2)C2CCCCC2)c(C(C)C)c1.CC(C)c1ccc(-c2ccccc2)c(C(C)C)c1C(C)C.CCO.Cc1ccccc1.Cl[c:7]1[c:2]([CH3:1])[c:3](-[c:13]2[n:14][cH:15][cH:16][cH:17][cH:18]2)[n:4][c:5]2[c:6]1[c:8]([F:12])[cH:9][cH:10][cH:11]2.O.O=C(/C=C/c1ccccc1)/C=C/c1ccccc1.O=C(/C=C/c1ccccc1)/C=C/c1ccccc1.O=C(/C=C/c1ccccc1)/C=C/c1ccccc1.[Na+].[Pd].[Pd].[cH:19]1[c:20](-[c:29]2[c:30]([NH2:41])[n:31][c:32]([N:35]3[CH2:36][CH2:37][O:38][CH2:39][CH2:40]3)[n:33][cH:34]2)[cH:21][cH:22][c:23]([O:25][CH:26]([F:27])[F:28])[cH:24]1>>[CH3:1][c:2]1[c:3](-[c:13]2[n:14][cH:15][cH:16][cH:17][cH:18]2)[n:4][c:5]2[c:6]([c:7]1[NH:41][c:30]1[c:29](-[c:20]3[cH:19][cH:24][c:23]([O:25][CH:26]([F:27])[F:28])[cH:22][cH:21]3)[cH:34][n:33][c:32]([N:35]3[CH2:36][CH2:37][O:38][CH2:39][CH2:40]3)[n:31]1)[c:8]([F:12])[cH:9][cH:10][cH:11]2,"set([5, 13])"
2,US20140171403A1,[cH:25]1[c:24]([cH:31][c:29]([cH:28][c:26]1[Cl:27])[Cl:30])[CH2:23][O:22][C:21](=[O:20])Cl.[cH:9]1[c:8]([n:12][n:11][nH:10]1)[CH2:7][CH2:6][CH2:5][CH2:4][CH2:3][C:2](=[O:1])[NH:13][CH:14]2[CH2:15][CH2:16][NH:17][CH2:18][CH2:19]2.C(Cl)Cl.[OH-].[Na+]>>[cH:25]1[c:24]([cH:31][c:29]([cH:28][c:26]1[Cl:27])[Cl:30])[CH2:23][O:22][C:21](=[O:20])[N:17]2[CH2:16][CH2:15][CH:14]([CH2:19][CH2:18]2)[NH:13][C:2](=[O:1])[CH2:3][CH2:4][CH2:5][CH2:6][CH2:7][c:8]3[cH:9][nH:10][n:11][n:12]3,"set([0, 1])"
9,US07285563B2,CCCC[N+](CCCC)(CCCC)CCCC.CN(C)C=O.[cH:5]1[cH:6][c:7]2[cH:8][n:9][cH:10][cH:11][c:12]2[c:3]([cH:4]1)[C:2](=[O:1])O.C(Cl)Cl.C(=O)(C(=O)Cl)Cl.[N-:13]=[N+:14]=[N-:15].O.O.[Na+].[Br-]>>[cH:5]1[cH:6][c:7]2[cH:8][n:9][cH:10][cH:11][c:12]2[c:3]([cH:4]1)[C:2](=[O:1])[N:13]=[N+:14]=[N-:15],"set([2, 5])"
9,US08530504B2,[CH3:1][O:2][CH2:3][c:4]1[cH:5][c:6]([c:9]([c:18]([cH:21]1)[O:19][CH3:20])[c:10]2[cH:11][s:12][c:13]3[n:17]2[n:16][c:15]([cH:14]3)Br)[O:7][CH3:8].CS(=O)C.[CH3:22][S:23](=[O:24])[O-:25].C1C[C@H](NC1)C(=O)O.O.[OH-].[Na+].[Na+].[Cu](I)I>>[CH3:1][O:2][CH2:3][c:4]1[cH:5][c:6]([c:9]([c:18]([cH:21]1)[O:19][CH3:20])[c:10]2[cH:11][s:12][c:13]3[n:17]2[n:16][c:15]([cH:14]3)[S:23](=[O:24])(=[O:25])[CH3:22])[O:7][CH3:8],"set([0, 2])"
1,US20130085131A1,CCOC(=O)C.CN(C)C=O.[cH:21]1[cH:22][cH:23][c:24]2[c:19]([cH:20]1)[C:17](=[O:18])[NH:16][C:15]2=[O:14].[cH:4]1[cH:5][c:6]2[c:13]([cH:12][c:10]([c:8]([n:7]2)[CH2:9]Br)[Br:11])[c:2]([cH:3]1)[F:1].C(=O)([O-])[O-].[K+].[K+]>>[cH:21]1[cH:22][cH:23][c:24]2[c:19]([cH:20]1)[C:17](=[O:18])[N:16]([C:15]2=[O:14])[CH2:9][c:8]3[c:10]([cH:12][c:13]4[c:6]([n:7]3)[cH:5][cH:4][cH:3][c:2]4[F:1])[Br:11],"set([2, 3])"
9,US20070185184A1,CCO.[CH3:1][CH:2]([CH3:3])[C:4](=[O:5])[c:6]1[cH:7][n:8]([c:18]2[c:23]1[cH:22][cH:21][cH:20][cH:19]2)[c:9]3[cH:10][cH:11][c:12]([cH:15][c:16]3[Cl:17])[C:13]#[N:14].CS(=O)C.[OH-].[OH:24]O.[K+]>>[CH3:1][CH:2]([CH3:3])[C:4](=[O:5])[c:6]1[cH:7][n:8]([c:18]2[c:23]1[cH:22][cH:21][cH:20][cH:19]2)[c:9]3[cH:10][cH:11][c:12]([cH:15][c:16]3[Cl:17])[C:13](=[O:24])[NH2:14],"set([1, 4])"
6,US08394792B2,[Li+].CN(C)C=O.C[O:1][c:2]1[c:3]([cH:5][c:6]([cH:29][c:30]1[Br:31])[C:7](=[O:8])[N:9]2[CH2:10][CH2:11][O:12][c:13]3[c:28]2[cH:27][c:16]([cH:15][n:14]3)[c:17]4[cH:18][cH:19][c:20]([cH:25][cH:26]4)[C:21]([F:22])([F:23])[F:24])[Br:4].C1CNCCN1.O.Cl.[Br-]>>[cH:18]1[cH:19][c:20]([cH:25][cH:26][c:17]1[c:16]2[cH:27][c:28]3[c:13]([n:14][cH:15]2)[O:12][CH2:11][CH2:10][N:9]3[C:7](=[O:8])[c:6]4[cH:5][c:3]([c:2]([c:30]([cH:29]4)[Br:31])[OH:1])[Br:4])[C:21]([F:22])([F:23])[F:24],set([2])
1,US07176216B2,CCN(CC)CC.Cc1ccccc1.CO.C[O-].COCCOC.[CH3:1][O:2][c:3]1[cH:4][c:5]([cH:8][c:9]([c:12]1[Br:13])[O:10][CH3:11])[CH2:6][OH:7].[CH3:14]S(=O)(=O)Cl.O.[Na+]>>[CH3:14][O:7][CH2:6][c:5]1[cH:4][c:3]([c:12]([c:9]([cH:8]1)[O:10][CH3:11])[Br:13])[O:2][CH3:1],"set([5, 6])"
